# of Uses,# of Uses
%s tag(s) have been accepted for moderation.,%s Subject(s) have been accepted for moderation.
<strong>Tag Name:</strong> %s,<strong>Subject Name:</strong> %s
Action,Action
Add,Add
Add New Tag,Add New Subject
Add Tags,Add Subjects
Add Your Tags:,Add Your Subjects:
Add tag(s) to product,Add Subject(s) to product
Add to Cart,Add to Cart
Add to Wishlist,Add to Wishlist
All Tags,All Subjects
Approved,Approved
Are you sure you want to delete this tag?,Are you sure you want to delete this Subject?
Are you sure you want to do this?,Are you sure you want to do this?
Are you sure?,Are you sure?
Back,Back
Back to Tags List,Back to Subjects List
Base Popularity,Base Popularity
Block Information,Block Information
CSV,CSV
Catalog Product View,Catalog Product View
Change status,Change status
Click on a tag to view your corresponding products.,Click on a Subject to view your corresponding products.
Country,Country
Customer My Account My Tags List,Customer My Account My Subjects List
Customer My Account Tag View,Customer My Account Subject View
Customer Since,Customer Since
Customers,Customers
Customers Submitted this Tag,Customers Submitted this Subject
Customers Tagged '%s',Customers Subjectged '%s'
Delete,Delete
Delete Tag,Delete Subject
Disabled,Disabled
Edit Tag '%s',Edit Subject '%s'
Email,Email
First Name,First Name
General Information,General Information
Grid,Grid
ID,ID
Info,Info
Last Name,Last Name
List,List
Manage Tags,Manage Subjects
My Recent Tags,My Recent Subjects
My Tags,My Subjects
Name,Name
New Tag,New Subject
No matches found.,No matches found.
Other people marked this product with these tags:,Other people marked this product with these Subjects:
Pending,Pending
Pending Tags,Pending Subjects
Popular,Popular
Popular Tags,Popular Subjects
Price,Price
Product Name,Product Name
Product SKU,Product SKU
Product Tag API,Product Subject API
Product Tags,Courses Tagging
Products,Products
Products Tagged by Administrators,Products Subjectged by Administrators
Products Tagged by Customers,Products Subjectged by Customers
Products Tagged with '%s',Products Subjectged with '%s'
Products tagged with '%s',Products Subjectged with '%s'
Rebuild Tag aggregation data,Rebuild Subject aggregation data
Remove,Remove
Remove product tag,Remove product Subject
Retrieve list of tags by product,Retrieve list of Subjects by product
Retrieve product tag info,Retrieve product Subject info
SKU,SKU
Save Tag,Save Subject
Save and Continue Edit,Save and Continue Edit
Status,Status
Store View,Store View
Tag,Subject
"Tag ""%s"" has already been added to the product.","Subject ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Subject ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Subject ""%s"" has been rejected by administrator."
Tag Aggregation Data,Subject Aggregation Data
Tag Name,Subject Name
Tagged Products List,Subjectged Products List
Tags,Subjects
Tags List (All Available),Subjects List (All Available)
Tags List Before,Subjects List Before
Tags:,Subjects:
Telephone,Telephone
The tag has been deleted.,The Subject has been deleted.
There are no tags available.,There are no Subjects available.
Unable to find any products tagged with '%s' in the current store,Unable to find any products Subjectged with '%s' in the current store
"Unable to remove tag. Please, try again later.","Unable to remove Subject. Please, try again later."
Unable to save tag(s).,Unable to save Subject(s).
Update,Update
Update product tag,Update product Subject
Use spaces to separate tags. Use single quotes (') for phrases.,Use spaces to separate Subjects. Use single quotes (') for phrases.
View All Tags,View All Subjects
View Customers,View Customers
View Products,View Products
XML,XML
You have not tagged any products yet.,You have not Subjectged any products yet.
ZIP/Post Code,ZIP/Post Code
[STORE VIEW],[STORE VIEW]
Subject,Course Duration (days)